Gene	GRCP	GLCP	TWAS_z
ENSG00000170962	0.990	0.999	   -4.406
ENSG00000112137	0.999	0.999	   13.651
ENSG00000134222	0.144	0.998	    4.755
ENSG00000138439	0.580	0.998	    8.586
ENSG00000227456	0.908	0.998	   -7.575
ENSG00000154305	0.936	0.996	    5.432
ENSG00000214955	0.844	0.996	   -4.173
ENSG00000243927	0.982	0.995	   -8.065
ENSG00000260123	0.899	0.993	   -2.214
ENSG00000198743	0.978	0.987	   -8.077
ENSG00000158186	0.981	0.981	   -5.875
ENSG00000140511	0.873	0.978	   -5.260
ENSG00000159197	0.657	0.976	   -7.766
ENSG00000140945	0.972	0.972	   -4.642
ENSG00000140545	0.873	0.971	   -5.217
ENSG00000122691	0.369	0.970	   -5.348
ENSG00000260228	0.969	0.969	   -2.854
ENSG00000272750	0.898	0.949	    6.973
ENSG00000115486	0.920	0.925	   -4.887
ENSG00000203288	0.848	0.916	   -4.876
ENSG00000166275	0.831	0.916	   -1.381
ENSG00000107798	0.879	0.910	   -6.819
ENSG00000231672	0.148	0.908	    1.331
ENSG00000260244	0.661	0.905	    4.477
ENSG00000140526	0.775	0.867	   -4.956
ENSG00000112218	0.783	0.853	   -1.492
ENSG00000168906	0.766	0.853	   -6.283
ENSG00000215533	0.841	0.846	    4.835
ENSG00000262333	0.252	0.844	   -4.538
ENSG00000112214	0.744	0.836	   -4.639
ENSG00000196547	0.817	0.834	   -4.055
ENSG00000070961	0.620	0.793	   -6.085
ENSG00000250392	0.580	0.785	   -4.621
ENSG00000123384	0.781	0.781	    4.293
ENSG00000232821	0.026	0.767	    0.000
ENSG00000185800	0.629	0.749	    3.641
ENSG00000104936	0.676	0.748	    3.817
ENSG00000084093	0.635	0.748	    4.250
ENSG00000112902	0.683	0.735	   -4.678
ENSG00000182511	0.652	0.735	    4.444
ENSG00000182134	0.616	0.730	   -1.964
ENSG00000172775	0.719	0.720	    4.204
ENSG00000244754	0.502	0.703	    4.142
ENSG00000130475	0.672	0.702	    4.686
ENSG00000213277	0.501	0.700	    5.399
ENSG00000165757	0.300	0.698	   -6.524
ENSG00000174579	0.503	0.687	   -4.674
ENSG00000243711	0.059	0.667	    6.988
ENSG00000142039	0.660	0.660	    0.000
ENSG00000183520	0.645	0.658	    3.001
ENSG00000141569	0.644	0.649	    4.183
ENSG00000165895	0.558	0.646	    4.029
ENSG00000185787	0.101	0.644	    7.404
ENSG00000183386	0.643	0.643	    4.431
ENSG00000108784	0.294	0.637	    3.266
ENSG00000204580	0.285	0.634	   -0.998
ENSG00000119718	0.557	0.631	   -4.452
ENSG00000173402	0.499	0.630	    5.007
ENSG00000140564	0.541	0.629	   -5.730
ENSG00000103194	0.525	0.620	    4.130
ENSG00000144426	0.331	0.615	    8.235
ENSG00000183431	0.602	0.602	    4.346
ENSG00000267801	0.344	0.594	   -3.834
ENSG00000163431	0.462	0.592	    4.043
ENSG00000204316	0.506	0.591	   -4.038
ENSG00000250742	0.255	0.575	    3.137
ENSG00000114790	0.431	0.568	   -4.190
ENSG00000280152	0.549	0.549	   -0.572
ENSG00000159210	0.476	0.541	   -4.576
ENSG00000257727	0.424	0.531	    3.849
ENSG00000198700	0.529	0.529	   -4.309
ENSG00000259138	0.264	0.528	   -4.044
ENSG00000243069	0.368	0.516	   -3.677
ENSG00000147874	0.514	0.515	    4.276
ENSG00000225166	0.510	0.513	   -2.604
ENSG00000257303	0.427	0.494	   -3.830
ENSG00000126005	0.484	0.489	   -2.864
ENSG00000228452	0.488	0.488	    2.398
ENSG00000147883	0.024	0.483	    0.000
ENSG00000135473	0.436	0.480	    4.001
ENSG00000163346	0.334	0.471	    3.894
ENSG00000135469	0.389	0.465	   -3.833
ENSG00000078814	0.440	0.464	    0.618
ENSG00000161533	0.111	0.461	    1.607
ENSG00000263503	0.370	0.460	   -2.570
ENSG00000174953	0.451	0.459	    4.219
ENSG00000108591	0.302	0.457	    0.955
ENSG00000163935	0.447	0.451	   -3.405
ENSG00000136147	0.151	0.451	   -0.875
ENSG00000175662	0.375	0.444	    4.081
ENSG00000145029	0.388	0.438	    2.065
ENSG00000155875	0.317	0.436	    3.752
ENSG00000250786	0.418	0.433	    0.736
ENSG00000110944	0.406	0.431	    4.178
ENSG00000168487	0.430	0.430	    3.626
ENSG00000280022	0.268	0.427	    2.878
ENSG00000145022	0.374	0.417	    4.292
ENSG00000232994	0.248	0.414	    0.000
ENSG00000167447	0.413	0.413	   -3.721
ENSG00000050820	0.393	0.412	   -4.535
ENSG00000264070	0.399	0.412	   -2.788
ENSG00000237352	0.311	0.411	    0.343
ENSG00000118526	0.411	0.411	    5.997
ENSG00000256654	0.122	0.410	    0.755
ENSG00000160209	0.361	0.389	    3.191
ENSG00000121989	0.389	0.389	   -3.943
ENSG00000171953	0.360	0.385	   -2.475
ENSG00000214655	0.286	0.385	    3.731
ENSG00000143369	0.167	0.384	   -0.522
ENSG00000102780	0.383	0.383	    4.055
ENSG00000279594	0.324	0.377	   -4.261
ENSG00000149269	0.237	0.368	   -2.294
ENSG00000204084	0.360	0.360	    4.940
ENSG00000119684	0.250	0.359	    0.000
ENSG00000197815	0.305	0.356	    4.019
ENSG00000143437	0.356	0.356	    3.789
ENSG00000221838	0.350	0.353	    0.144
ENSG00000170624	0.352	0.353	    3.577
ENSG00000277151	0.352	0.352	   -3.976
ENSG00000072310	0.254	0.336	   -4.126
ENSG00000143365	0.105	0.335	    0.000
ENSG00000168490	0.240	0.334	    3.869
ENSG00000069849	0.308	0.332	   -3.628
ENSG00000130479	0.232	0.327	    0.000
ENSG00000139719	0.323	0.323	    3.680
ENSG00000271855	0.315	0.315	    0.451
ENSG00000283031	0.227	0.315	    3.703
ENSG00000131067	0.278	0.311	   -3.758
ENSG00000167526	0.302	0.306	    3.834
ENSG00000280429	0.304	0.304	    2.831
ENSG00000143603	0.165	0.293	    0.000
ENSG00000179588	0.289	0.291	    3.733
ENSG00000143387	0.211	0.285	   -3.179
ENSG00000119703	0.137	0.284	    0.000
ENSG00000176956	0.279	0.279	    3.649
ENSG00000257557	0.178	0.278	    3.359
ENSG00000118197	0.256	0.268	    2.783
ENSG00000106868	0.209	0.257	    3.322
ENSG00000108786	0.244	0.244	   -0.676
ENSG00000143457	0.119	0.242	   -2.946
ENSG00000267280	0.170	0.240	    3.194
ENSG00000110080	0.234	0.238	    0.002
ENSG00000172789	0.141	0.237	    0.000
ENSG00000163344	0.236	0.236	    4.312
ENSG00000236013	0.223	0.235	   -1.466
ENSG00000151422	0.204	0.232	    4.107
ENSG00000266980	0.134	0.232	    3.356
ENSG00000184274	0.230	0.230	    3.506
ENSG00000121068	0.228	0.228	    3.462
ENSG00000107679	0.137	0.226	   -0.405
ENSG00000180263	0.101	0.222	   -3.273
ENSG00000021488	0.148	0.221	   -1.597
ENSG00000155465	0.221	0.221	    3.437
ENSG00000108771	0.199	0.220	    2.849
ENSG00000182218	0.219	0.219	    4.328
ENSG00000250731	0.211	0.217	    2.933
ENSG00000166507	0.189	0.214	    0.000
ENSG00000173531	0.143	0.209	    3.927
ENSG00000177301	0.207	0.207	    3.417
ENSG00000197020	0.205	0.205	    3.401
ENSG00000119185	0.201	0.201	    1.821
ENSG00000166888	0.035	0.201	   -2.898
ENSG00000108219	0.090	0.199	    2.325
ENSG00000181652	0.199	0.199	    0.000
ENSG00000163359	0.069	0.197	   -2.893
ENSG00000126749	0.195	0.195	   -3.171
ENSG00000120798	0.176	0.194	   -3.475
ENSG00000223754	0.182	0.190	   -2.897
ENSG00000213085	0.175	0.187	    0.000
ENSG00000104450	0.137	0.187	   -3.326
ENSG00000173960	0.122	0.186	   -3.344
ENSG00000272512	0.173	0.184	   -3.014
ENSG00000128482	0.176	0.183	   -2.944
ENSG00000180011	0.158	0.177	    3.341
ENSG00000214659	0.175	0.177	    1.291
ENSG00000105329	0.168	0.172	    0.000
ENSG00000059378	0.166	0.172	    2.663
ENSG00000115221	0.157	0.172	    2.684
ENSG00000146411	0.172	0.172	   -1.876
ENSG00000075292	0.169	0.171	    2.664
ENSG00000227078	0.170	0.170	   -3.277
ENSG00000259520	0.121	0.168	   -1.514
ENSG00000142632	0.161	0.167	   -1.122
ENSG00000283050	0.137	0.164	    3.223
ENSG00000104497	0.164	0.164	   -2.703
ENSG00000132471	0.095	0.163	    0.417
ENSG00000242338	0.082	0.162	   -3.216
ENSG00000233237	0.059	0.162	   -2.470
ENSG00000137075	0.151	0.159	    3.277
ENSG00000232642	0.126	0.158	   -3.400
ENSG00000180758	0.053	0.152	   -2.871
ENSG00000184232	0.150	0.150	   -3.076
ENSG00000196821	0.144	0.149	   -3.048
ENSG00000230495	0.083	0.148	    0.000
ENSG00000269845	0.145	0.148	    0.166
ENSG00000151617	0.121	0.147	   -4.928
ENSG00000245958	0.096	0.146	   -3.176
ENSG00000220685	0.145	0.145	    0.000
ENSG00000164904	0.021	0.145	   -1.049
ENSG00000160213	0.144	0.145	   -0.867
ENSG00000102967	0.139	0.144	   -2.680
ENSG00000084674	0.110	0.143	    1.859
ENSG00000143382	0.117	0.142	   -2.494
ENSG00000164597	0.085	0.142	    0.000
ENSG00000267342	0.075	0.141	   -1.942
ENSG00000164344	0.091	0.140	   -1.588
ENSG00000135636	0.128	0.140	    0.134
ENSG00000147459	0.139	0.140	   -2.070
ENSG00000139540	0.133	0.138	    0.000
ENSG00000272912	0.097	0.137	    0.000
ENSG00000177425	0.134	0.134	    3.139
ENSG00000036530	0.107	0.134	    0.834
ENSG00000137944	0.134	0.134	    3.293
ENSG00000104886	0.128	0.134	    3.257
ENSG00000164116	0.122	0.133	    2.929
ENSG00000117477	0.127	0.133	    3.411
ENSG00000163596	0.098	0.133	   -5.321
ENSG00000144036	0.124	0.132	   -3.392
ENSG00000087253	0.132	0.132	   -0.311
ENSG00000101004	0.107	0.132	   -2.262
ENSG00000118292	0.132	0.132	    3.249
ENSG00000270362	0.121	0.130	    3.193
ENSG00000166436	0.129	0.130	    0.936
ENSG00000159199	0.105	0.130	   -0.669
ENSG00000106261	0.128	0.128	   -3.400
ENSG00000108788	0.113	0.128	    3.560
ENSG00000224414	0.127	0.127	    0.827
ENSG00000146243	0.112	0.127	   -3.021
ENSG00000235316	0.073	0.125	    3.153
ENSG00000267453	0.112	0.124	    2.105
ENSG00000241135	0.124	0.124	    3.254
ENSG00000182263	0.119	0.124	   -2.817
ENSG00000100949	0.124	0.124	    3.196
ENSG00000235374	0.107	0.123	    0.598
ENSG00000185019	0.123	0.123	    3.298
ENSG00000167549	0.123	0.123	    0.000
ENSG00000235979	0.121	0.121	   -3.190
ENSG00000151948	0.114	0.120	   -1.888
ENSG00000141576	0.077	0.120	    3.122
ENSG00000164535	0.119	0.119	    2.744
ENSG00000141699	0.063	0.118	   -3.636
ENSG00000200084	0.091	0.118	    0.000
ENSG00000146247	0.102	0.117	   -3.244
ENSG00000175832	0.112	0.116	   -2.335
ENSG00000179889	0.115	0.115	   -2.057
ENSG00000035403	0.085	0.114	    3.475
ENSG00000160685	0.105	0.114	   -3.229
ENSG00000250770	0.031	0.114	   -0.296
ENSG00000203804	0.054	0.114	    3.213
ENSG00000230487	0.112	0.114	   -3.342
ENSG00000250959	0.074	0.113	    3.259
ENSG00000249908	0.052	0.113	    1.784
ENSG00000167083	0.048	0.112	   -3.857
ENSG00000187134	0.111	0.112	    1.307
ENSG00000143412	0.085	0.112	   -3.203
ENSG00000242628	0.111	0.111	   -3.353
ENSG00000257740	0.105	0.111	    0.000
ENSG00000064989	0.111	0.111	    3.206
ENSG00000099889	0.080	0.110	    3.002
ENSG00000172548	0.108	0.108	   -3.164
ENSG00000167840	0.071	0.107	    0.004
ENSG00000100296	0.105	0.106	    3.219
ENSG00000229759	0.100	0.106	    3.002
ENSG00000196968	0.081	0.106	   -3.035
ENSG00000157259	0.089	0.105	   -3.238
ENSG00000188396	0.087	0.104	    3.472
ENSG00000181027	0.091	0.104	   -2.279
ENSG00000118418	0.103	0.103	    0.000
ENSG00000250539	0.103	0.103	    3.090
ENSG00000256268	0.102	0.102	   -3.332
ENSG00000148842	0.071	0.101	    0.000
ENSG00000127528	0.040	0.101	   -2.969
ENSG00000109917	0.079	0.101	    3.426
ENSG00000096968	0.077	0.101	    2.530
ENSG00000090686	0.082	0.100	   -2.180
ENSG00000108433	0.032	0.100	    0.000
ENSG00000238795	0.100	0.100	    0.000
ENSG00000119969	0.071	0.100	   -3.044
ENSG00000186866	0.097	0.100	    0.000
ENSG00000228638	0.079	0.100	   -3.168
ENSG00000185009	0.090	0.099	   -3.240
ENSG00000250412	0.083	0.098	    3.281
ENSG00000132881	0.097	0.098	    2.767
ENSG00000100191	0.082	0.098	   -1.322
ENSG00000179715	0.098	0.098	    0.686
ENSG00000138131	0.076	0.097	   -1.669
ENSG00000087237	0.096	0.096	   -3.169
ENSG00000175582	0.095	0.095	   -0.670
ENSG00000279088	0.067	0.094	    2.955
ENSG00000251322	0.094	0.094	   -3.169
ENSG00000125775	0.093	0.093	    2.387
ENSG00000117385	0.014	0.093	    0.434
ENSG00000172113	0.081	0.092	   -3.145
ENSG00000177469	0.063	0.092	    0.000
ENSG00000238198	0.091	0.091	    3.200
ENSG00000164251	0.070	0.091	   -0.859
ENSG00000138823	0.082	0.091	    3.178
ENSG00000115504	0.067	0.091	   -3.199
ENSG00000159840	0.090	0.090	   -3.161
ENSG00000196262	0.025	0.090	   -1.094
ENSG00000232479	0.075	0.089	    0.000
ENSG00000234327	0.088	0.088	   -0.790
ENSG00000224609	0.088	0.088	    2.650
ENSG00000146904	0.086	0.088	   -3.086
ENSG00000164867	0.088	0.088	    0.000
ENSG00000014123	0.081	0.087	    0.000
ENSG00000260088	0.078	0.087	   -1.739
ENSG00000162722	0.063	0.086	    2.951
ENSG00000206053	0.076	0.086	    1.727
ENSG00000143452	0.016	0.086	    0.000
ENSG00000263335	0.085	0.085	   -3.008
ENSG00000155816	0.085	0.085	    0.000
ENSG00000071967	0.075	0.085	    2.414
ENSG00000280219	0.084	0.084	    0.000
ENSG00000186409	0.079	0.084	    2.855
ENSG00000187642	0.082	0.083	   -2.576
ENSG00000140368	0.044	0.083	   -1.652
ENSG00000108774	0.073	0.082	    0.000
ENSG00000083642	0.037	0.082	    0.000
ENSG00000251615	0.081	0.081	    2.530
ENSG00000105287	0.079	0.081	   -3.077
ENSG00000164045	0.071	0.080	    3.111
ENSG00000163257	0.079	0.080	    2.661
ENSG00000214113	0.063	0.080	   -0.941
ENSG00000099995	0.065	0.080	    2.762
ENSG00000257219	0.067	0.080	    2.916
ENSG00000276293	0.063	0.079	   -2.540
ENSG00000139370	0.072	0.079	   -2.441
ENSG00000126001	0.079	0.079	    2.902
ENSG00000155876	0.060	0.079	    0.000
ENSG00000205307	0.078	0.078	   -3.000
ENSG00000153406	0.078	0.078	   -1.060
ENSG00000170647	0.078	0.078	    2.201
ENSG00000070087	0.078	0.078	    1.332
ENSG00000004139	0.078	0.078	   -3.096
ENSG00000037042	0.063	0.077	    3.186
ENSG00000228696	0.023	0.077	   -1.001
ENSG00000235875	0.070	0.076	   -3.301
ENSG00000068078	0.075	0.076	   -2.346
ENSG00000272501	0.076	0.076	   -2.193
ENSG00000226266	0.076	0.076	    1.429
ENSG00000274627	0.071	0.075	    1.892
ENSG00000135502	0.071	0.075	   -1.582
ENSG00000136536	0.053	0.075	    0.000
ENSG00000259953	0.072	0.075	    2.838
ENSG00000137310	0.058	0.074	   -2.642
ENSG00000242147	0.073	0.073	    0.862
ENSG00000213906	0.073	0.073	    2.932
ENSG00000249244	0.053	0.073	    3.286
ENSG00000139187	0.062	0.073	   -2.922
ENSG00000103653	0.072	0.072	   -2.983
ENSG00000168944	0.028	0.071	   -0.169
ENSG00000283073	0.030	0.071	    2.521
ENSG00000164010	0.071	0.071	    1.322
ENSG00000261783	0.070	0.070	    2.877
ENSG00000092931	0.070	0.070	    2.445
ENSG00000058085	0.070	0.070	   -3.332
ENSG00000164048	0.070	0.070	    3.119
ENSG00000204650	0.061	0.070	   -2.881
ENSG00000058063	0.059	0.070	   -3.042
ENSG00000236493	0.069	0.069	    3.148
ENSG00000204463	0.069	0.069	   -3.221
ENSG00000244045	0.069	0.069	   -2.980
ENSG00000167525	0.056	0.068	   -3.123
ENSG00000239332	0.068	0.068	    0.653
ENSG00000102468	0.064	0.068	   -2.876
ENSG00000244515	0.067	0.067	    2.797
ENSG00000011021	0.066	0.067	   -0.340
ENSG00000231770	0.067	0.067	    0.188
ENSG00000111262	0.067	0.067	    1.064
ENSG00000279377	0.052	0.067	    1.131
ENSG00000229891	0.067	0.067	   -2.727
ENSG00000176732	0.059	0.066	   -1.074
ENSG00000224152	0.055	0.066	    2.955
ENSG00000124587	0.066	0.066	    2.137
ENSG00000214530	0.050	0.066	   -2.668
ENSG00000149557	0.058	0.066	   -2.187
ENSG00000120254	0.065	0.066	    2.021
ENSG00000029725	0.035	0.065	    0.823
ENSG00000186453	0.064	0.064	   -2.802
ENSG00000169914	0.062	0.064	   -2.600
ENSG00000181016	0.064	0.064	   -0.532
ENSG00000112208	0.025	0.064	    2.016
ENSG00000267198	0.024	0.064	   -1.070
ENSG00000100994	0.051	0.064	   -0.958
ENSG00000139178	0.063	0.063	   -2.925
ENSG00000117425	0.040	0.063	    0.000
ENSG00000113161	0.042	0.063	   -2.930
ENSG00000138111	0.063	0.063	    1.151
ENSG00000107984	0.063	0.063	    2.162
ENSG00000238832	0.053	0.063	    0.000
ENSG00000149243	0.061	0.063	    2.862
ENSG00000077454	0.061	0.063	   -3.001
ENSG00000233929	0.052	0.063	   -2.686
ENSG00000260910	0.057	0.062	    3.052
ENSG00000138400	0.062	0.062	   -1.312
ENSG00000267765	0.062	0.062	   -3.223
ENSG00000119203	0.043	0.062	   -2.091
ENSG00000177971	0.062	0.062	    0.000
ENSG00000134900	0.031	0.062	   -2.301
ENSG00000197134	0.061	0.062	    2.202
ENSG00000183049	0.058	0.062	   -2.941
ENSG00000157335	0.061	0.062	   -0.709
ENSG00000176700	0.062	0.062	    0.438
ENSG00000157778	0.056	0.061	    2.676
ENSG00000134905	0.043	0.061	    1.420
ENSG00000231530	0.060	0.060	    0.000
ENSG00000224468	0.039	0.060	    1.403
ENSG00000243176	0.049	0.059	   -2.646
ENSG00000156140	0.059	0.059	    0.000
ENSG00000130653	0.054	0.059	   -0.541
ENSG00000070366	0.008	0.059	    0.000
ENSG00000179218	0.059	0.059	   -2.871
ENSG00000007866	0.059	0.059	   -2.935
ENSG00000148814	0.058	0.058	    0.603
ENSG00000250903	0.049	0.058	    0.000
ENSG00000151458	0.050	0.058	   -2.071
ENSG00000138071	0.037	0.058	   -1.487
ENSG00000153487	0.027	0.058	    0.000
ENSG00000164532	0.046	0.058	   -2.949
ENSG00000137714	0.052	0.058	    2.253
ENSG00000164047	0.040	0.057	    0.000
ENSG00000279305	0.057	0.057	    0.000
ENSG00000175518	0.057	0.057	    2.279
ENSG00000277075	0.057	0.057	    2.866
ENSG00000185347	0.057	0.057	    2.824
ENSG00000177337	0.057	0.057	    1.039
ENSG00000279118	0.057	0.057	    2.901
ENSG00000108641	0.049	0.057	   -2.831
ENSG00000143036	0.056	0.056	   -0.531
ENSG00000237036	0.044	0.056	    2.907
ENSG00000242325	0.056	0.056	   -3.025
ENSG00000132970	0.050	0.056	   -0.773
ENSG00000132964	0.053	0.056	   -2.872
ENSG00000205959	0.048	0.056	   -2.714
ENSG00000241313	0.042	0.056	   -2.787
ENSG00000280339	0.054	0.055	   -2.374
ENSG00000173039	0.054	0.055	    0.000
ENSG00000283633	0.055	0.055	   -2.294
ENSG00000236466	0.055	0.055	   -2.872
ENSG00000235501	0.054	0.054	   -0.447
ENSG00000158555	0.054	0.054	    2.840
ENSG00000276952	0.047	0.054	    2.858
ENSG00000107779	0.033	0.054	    2.647
ENSG00000159202	0.039	0.054	    0.000
ENSG00000076067	0.048	0.054	    2.874
ENSG00000243649	0.035	0.054	    2.451
ENSG00000182534	0.052	0.053	    2.894
ENSG00000235884	0.053	0.053	   -1.125
ENSG00000261701	0.053	0.053	    0.573
ENSG00000101000	0.050	0.053	    1.700
ENSG00000102547	0.040	0.053	   -1.413
ENSG00000118200	0.033	0.053	   -2.617
ENSG00000256499	0.036	0.052	    2.843
ENSG00000164543	0.031	0.052	    2.369
ENSG00000158220	0.052	0.052	   -2.581
ENSG00000270808	0.046	0.052	    0.000
ENSG00000182923	0.041	0.052	    2.809
ENSG00000173327	0.051	0.051	   -3.012
ENSG00000255737	0.050	0.051	   -2.941
ENSG00000108352	0.051	0.051	    2.907
ENSG00000172785	0.050	0.051	    1.493
ENSG00000143436	0.022	0.051	   -0.277
ENSG00000178636	0.051	0.051	    0.000
ENSG00000182621	0.051	0.051	   -2.868
ENSG00000183506	0.046	0.050	   -1.961
ENSG00000110274	0.025	0.050	   -2.485
ENSG00000236908	0.048	0.050	   -0.884
ENSG00000240764	0.041	0.050	    2.784
ENSG00000116791	0.046	0.050	    2.422
ENSG00000235750	0.050	0.050	    1.039
ENSG00000124562	0.035	0.050	    2.498
ENSG00000283199	0.026	0.049	   -2.564
ENSG00000135486	0.030	0.049	    0.000
ENSG00000158604	0.045	0.049	   -0.777
ENSG00000140941	0.049	0.049	    2.429
ENSG00000270820	0.042	0.048	   -1.820
ENSG00000264007	0.040	0.048	    0.000
ENSG00000160606	0.048	0.048	   -2.789
ENSG00000215251	0.048	0.048	    0.000
ENSG00000273076	0.048	0.048	    2.925
ENSG00000196109	0.038	0.048	    2.777
ENSG00000127125	0.039	0.048	    2.303
ENSG00000119431	0.048	0.048	    1.985
ENSG00000272994	0.047	0.047	    2.110
ENSG00000256053	0.047	0.047	   -1.470
ENSG00000238083	0.035	0.047	   -2.926
ENSG00000033178	0.041	0.047	    2.767
ENSG00000260439	0.036	0.047	   -1.519
ENSG00000103264	0.047	0.047	   -0.931
ENSG00000100567	0.043	0.047	    2.513
ENSG00000272631	0.030	0.047	   -2.700
ENSG00000149577	0.045	0.047	    2.559
ENSG00000179673	0.032	0.047	    2.704
ENSG00000159314	0.042	0.047	   -2.445
ENSG00000262319	0.047	0.047	    2.907
ENSG00000269345	0.036	0.046	    2.736
ENSG00000129151	0.046	0.046	    0.000
ENSG00000134262	0.044	0.046	   -2.079
ENSG00000099917	0.045	0.046	   -1.897
ENSG00000169967	0.039	0.046	   -2.544
ENSG00000214425	0.025	0.046	    2.802
ENSG00000106069	0.045	0.046	   -2.990
ENSG00000172590	0.044	0.046	   -1.183
ENSG00000143590	0.046	0.046	   -2.954
ENSG00000278922	0.044	0.046	   -2.087
ENSG00000228157	0.023	0.046	   -2.358
ENSG00000103415	0.045	0.045	   -2.846
ENSG00000129103	0.045	0.045	    0.640
ENSG00000154556	0.039	0.045	    2.769
ENSG00000185499	0.044	0.045	    1.967
ENSG00000266918	0.036	0.045	   -2.328
ENSG00000263753	0.044	0.045	    0.359
ENSG00000122729	0.044	0.045	    0.480
ENSG00000129055	0.038	0.044	    2.557
ENSG00000104885	0.031	0.044	    2.671
ENSG00000164941	0.036	0.044	    0.426
ENSG00000117122	0.044	0.044	    2.760
ENSG00000175920	0.044	0.044	   -1.746
ENSG00000262202	0.041	0.044	    2.778
ENSG00000136938	0.039	0.044	   -2.848
ENSG00000058453	0.043	0.043	   -2.279
ENSG00000176973	0.043	0.043	    2.893
ENSG00000124126	0.041	0.043	   -3.052
ENSG00000274184	0.040	0.043	   -2.886
ENSG00000168936	0.036	0.043	   -2.751
ENSG00000272842	0.043	0.043	   -3.000
ENSG00000118640	0.019	0.043	    0.000
ENSG00000198945	0.042	0.043	    2.592
ENSG00000143198	0.022	0.043	   -0.088
ENSG00000232677	0.041	0.043	    2.737
ENSG00000091317	0.036	0.042	   -0.108
ENSG00000176927	0.039	0.042	    2.756
ENSG00000110063	0.042	0.042	    2.391
ENSG00000100888	0.042	0.042	    0.000
ENSG00000228513	0.040	0.042	    0.000
ENSG00000100997	0.033	0.042	   -2.607
ENSG00000113441	0.035	0.042	   -2.743
ENSG00000087008	0.042	0.042	   -1.410
ENSG00000125743	0.033	0.042	    1.320
ENSG00000213676	0.038	0.042	   -1.798
ENSG00000078295	0.041	0.042	   -2.753
ENSG00000139668	0.040	0.042	    0.922
ENSG00000115808	0.020	0.042	   -2.342
ENSG00000139645	0.034	0.042	    0.000
ENSG00000011478	0.040	0.042	    2.303
ENSG00000261061	0.040	0.042	    1.750
ENSG00000242372	0.040	0.042	    4.137
ENSG00000279039	0.008	0.041	    1.322
ENSG00000157181	0.036	0.041	   -0.095
ENSG00000109084	0.023	0.041	   -2.281
ENSG00000170122	0.040	0.041	    2.069
ENSG00000109113	0.038	0.041	   -3.181
ENSG00000271970	0.030	0.041	   -0.520
ENSG00000137804	0.041	0.041	   -2.822
ENSG00000267470	0.037	0.041	    1.423
ENSG00000184206	0.025	0.041	   -1.388
ENSG00000104412	0.040	0.041	    3.595
ENSG00000257285	0.038	0.041	   -1.810
ENSG00000022567	0.029	0.041	    0.000
ENSG00000145476	0.038	0.041	   -1.656
ENSG00000204406	0.037	0.040	    0.000
ENSG00000205482	0.038	0.040	    2.584
ENSG00000055208	0.036	0.040	    2.946
ENSG00000279019	0.023	0.040	    0.000
ENSG00000185829	0.021	0.040	   -1.242
ENSG00000175170	0.038	0.040	   -0.364
ENSG00000206344	0.025	0.040	   -2.297
ENSG00000279207	0.040	0.040	   -1.764
ENSG00000123810	0.034	0.040	    0.000
ENSG00000184428	0.039	0.040	   -0.112
ENSG00000233337	0.017	0.040	    0.000
ENSG00000188290	0.040	0.040	   -0.846
ENSG00000088833	0.040	0.040	   -2.445
ENSG00000248049	0.036	0.040	    1.099
ENSG00000280417	0.006	0.039	   -1.715
ENSG00000250067	0.025	0.039	    1.799
ENSG00000265055	0.039	0.039	   -2.907
ENSG00000105971	0.038	0.039	    2.507
ENSG00000136144	0.031	0.039	   -1.908
ENSG00000090104	0.039	0.039	    0.000
ENSG00000072134	0.038	0.039	   -2.691
ENSG00000008130	0.037	0.039	   -1.328
ENSG00000198242	0.039	0.039	   -2.725
ENSG00000273133	0.039	0.039	    2.635
ENSG00000119638	0.039	0.039	    3.420
ENSG00000142347	0.039	0.039	    2.636
ENSG00000062485	0.030	0.038	    0.000
ENSG00000261997	0.025	0.038	    0.000
ENSG00000261879	0.037	0.038	    0.000
ENSG00000188878	0.031	0.038	    2.756
ENSG00000148660	0.030	0.038	    0.000
ENSG00000143162	0.038	0.038	   -2.299
ENSG00000176532	0.038	0.038	   -2.734
ENSG00000224969	0.038	0.038	   -2.547
ENSG00000263142	0.038	0.038	   -0.880
ENSG00000133657	0.038	0.038	    2.468
ENSG00000137154	0.038	0.038	    0.232
ENSG00000241015	0.037	0.038	   -1.046
ENSG00000196975	0.031	0.038	    0.000
ENSG00000133597	0.034	0.038	   -2.036
ENSG00000278129	0.035	0.037	    2.530
ENSG00000079689	0.031	0.037	   -2.031
ENSG00000136378	0.035	0.037	    6.302
ENSG00000157578	0.027	0.037	   -2.298
ENSG00000137513	0.034	0.037	   -1.552
ENSG00000240053	0.037	0.037	    0.175
ENSG00000214401	0.025	0.037	   -2.743
ENSG00000122741	0.029	0.037	    2.639
ENSG00000166452	0.033	0.037	   -1.979
ENSG00000178795	0.036	0.037	    1.256
ENSG00000137699	0.026	0.037	    0.006
ENSG00000230676	0.015	0.037	    1.982
ENSG00000137601	0.037	0.037	    2.802
ENSG00000153048	0.037	0.037	    1.188
ENSG00000105186	0.037	0.037	   -2.933
ENSG00000237765	0.033	0.037	    2.653
ENSG00000136573	0.021	0.037	    2.514
ENSG00000173065	0.029	0.037	    2.677
ENSG00000144659	0.036	0.037	    2.255
ENSG00000162804	0.033	0.037	    0.000
ENSG00000108344	0.029	0.037	   -2.553
