Gene	GRCP	GLCP	TWAS_z
ENSG00000119927	0.010	0.951	   -4.226
ENSG00000100979	0.017	0.845	  -11.932
ENSG00000134825	0.026	0.838	    8.837
ENSG00000161180	0.004	0.688	   -5.609
ENSG00000149485	0.005	0.603	    0.000
ENSG00000250091	0.027	0.566	   -6.663
ENSG00000246575	0.025	0.498	   -4.302
ENSG00000119242	0.002	0.478	   -6.118
ENSG00000274080	0.003	0.462	    0.000
ENSG00000175213	0.006	0.459	    0.000
ENSG00000134222	0.022	0.374	   -0.677
ENSG00000141744	0.047	0.363	    0.000
ENSG00000108433	0.004	0.279	   -3.974
ENSG00000179195	0.004	0.255	    6.391
ENSG00000117505	0.004	0.213	    0.000
ENSG00000004534	0.003	0.201	   -5.031
ENSG00000037042	0.001	0.149	   -3.422
ENSG00000273342	0.000	0.146	    0.000
ENSG00000235910	0.120	0.133	    0.000
ENSG00000134575	0.002	0.129	    0.000
ENSG00000060642	0.001	0.122	    0.000
ENSG00000266469	0.000	0.115	    7.169
ENSG00000271751	0.001	0.111	    0.000
ENSG00000132740	0.010	0.105	    3.778
ENSG00000281691	0.003	0.105	    0.000
ENSG00000110090	0.000	0.104	    0.000
ENSG00000254909	0.001	0.101	    0.000
ENSG00000277427	0.001	0.095	   -3.830
ENSG00000143412	0.004	0.090	    3.663
ENSG00000106635	0.006	0.089	    0.000
ENSG00000131470	0.000	0.086	    0.000
ENSG00000228060	0.004	0.085	    0.000
ENSG00000152291	0.002	0.083	    0.000
ENSG00000005243	0.003	0.082	    3.782
ENSG00000269997	0.001	0.077	    0.000
ENSG00000143294	0.001	0.073	    0.000
ENSG00000250508	0.001	0.070	   -3.441
ENSG00000185022	0.002	0.070	    0.000
ENSG00000146112	0.001	0.065	    0.000
ENSG00000267282	0.002	0.062	    0.000
ENSG00000197142	0.000	0.062	    0.000
ENSG00000087237	0.002	0.059	    0.000
ENSG00000260063	0.000	0.058	    0.000
ENSG00000167772	0.004	0.055	    0.000
ENSG00000143575	0.011	0.051	   -4.116
ENSG00000270048	0.000	0.051	    0.000
ENSG00000158161	0.001	0.050	    3.363
ENSG00000087157	0.001	0.050	    0.000
ENSG00000031698	0.004	0.049	    0.000
ENSG00000263412	0.002	0.048	    3.513
ENSG00000116641	0.001	0.044	   -3.448
ENSG00000117500	0.000	0.043	    0.000
ENSG00000095485	0.003	0.040	   -3.810
ENSG00000003756	0.001	0.040	    0.000
ENSG00000101460	0.000	0.040	    2.892
ENSG00000178188	0.000	0.036	   -1.915
ENSG00000196821	0.001	0.036	    0.000
ENSG00000256269	0.001	0.035	    3.557
ENSG00000167258	0.000	0.035	    0.000
ENSG00000270130	0.000	0.033	    0.000
ENSG00000009950	0.000	0.033	   -5.341
ENSG00000114554	0.000	0.032	   -1.478
ENSG00000227191	0.000	0.032	   -2.254
ENSG00000187553	0.001	0.032	    0.000
ENSG00000175164	0.001	0.031	   -3.230
ENSG00000114054	0.000	0.030	    0.000
ENSG00000023516	0.001	0.029	    2.403
ENSG00000170634	0.001	0.029	    3.439
ENSG00000228063	0.001	0.028	    0.000
ENSG00000072958	0.000	0.028	   -2.516
ENSG00000165181	0.001	0.027	    0.000
ENSG00000165113	0.000	0.026	    0.000
ENSG00000125971	0.000	0.026	    3.713
ENSG00000269938	0.000	0.026	    0.000
ENSG00000110080	0.001	0.026	    0.000
ENSG00000182782	0.000	0.025	    0.000
ENSG00000120725	0.000	0.025	    0.000
ENSG00000139428	0.001	0.025	    4.764
ENSG00000183682	0.000	0.023	    5.851
ENSG00000112343	0.000	0.023	   -1.276
ENSG00000089847	0.000	0.022	   -1.420
ENSG00000268516	0.000	0.020	    3.237
ENSG00000253966	0.000	0.019	   -2.327
ENSG00000135862	0.000	0.019	    1.871
ENSG00000146374	0.000	0.019	    0.000
ENSG00000103550	0.002	0.019	   -3.188
ENSG00000270095	0.000	0.019	    0.000
ENSG00000038358	0.001	0.019	    0.000
ENSG00000160695	0.001	0.019	   -2.512
ENSG00000122483	0.000	0.019	    0.000
ENSG00000275389	0.000	0.019	    5.457
ENSG00000180210	0.001	0.019	    0.000
ENSG00000270061	0.000	0.018	    0.000
ENSG00000266962	0.000	0.017	    0.000
ENSG00000173175	0.001	0.017	    0.000
ENSG00000197345	0.002	0.017	   -3.574
ENSG00000240634	0.000	0.016	    0.000
ENSG00000235119	0.000	0.016	    0.000
ENSG00000261766	0.000	0.016	    0.000
ENSG00000148057	0.000	0.016	    0.000
ENSG00000108306	0.000	0.016	    0.000
ENSG00000229124	0.001	0.015	    0.000
ENSG00000268201	0.000	0.015	    0.000
ENSG00000026025	0.001	0.015	    3.431
ENSG00000137700	0.001	0.015	    0.000
ENSG00000173991	0.001	0.014	    0.000
ENSG00000183793	0.014	0.014	   -3.096
ENSG00000270424	0.000	0.014	    2.749
ENSG00000279159	0.000	0.014	   -0.469
ENSG00000198646	0.001	0.014	    0.000
ENSG00000165695	0.001	0.014	    0.000
ENSG00000242574	0.000	0.014	    3.234
ENSG00000276571	0.000	0.014	    0.000
ENSG00000273027	0.013	0.013	    0.000
ENSG00000124564	0.001	0.013	    0.000
ENSG00000178966	0.000	0.013	    3.129
ENSG00000137312	0.001	0.013	    3.395
ENSG00000275759	0.000	0.013	   -2.374
ENSG00000275409	0.000	0.013	   -2.659
ENSG00000270427	0.000	0.013	    0.000
ENSG00000102898	0.001	0.013	    0.000
ENSG00000100815	0.000	0.013	   -2.218
ENSG00000132640	0.000	0.013	    0.000
ENSG00000113734	0.000	0.012	    2.934
ENSG00000199332	0.002	0.012	    3.354
ENSG00000204520	0.001	0.012	    3.463
ENSG00000139697	0.000	0.012	    0.000
ENSG00000155189	0.000	0.012	    0.000
ENSG00000069275	0.001	0.012	    0.000
ENSG00000115884	0.000	0.012	   -3.120
ENSG00000142230	0.000	0.012	    0.000
ENSG00000015676	0.000	0.012	    2.495
ENSG00000198131	0.000	0.011	    3.316
ENSG00000103932	0.000	0.011	   -4.265
ENSG00000197579	0.000	0.011	    0.000
ENSG00000176473	0.000	0.011	    0.000
ENSG00000229152	0.000	0.011	    0.000
ENSG00000269293	0.000	0.011	    0.000
ENSG00000156218	0.000	0.010	   -1.921
ENSG00000253368	0.000	0.010	    0.000
ENSG00000171988	0.000	0.010	    0.000
ENSG00000138246	0.000	0.010	    0.000
ENSG00000176903	0.000	0.010	   -2.655
ENSG00000100211	0.000	0.010	   -2.405
ENSG00000115677	0.000	0.010	    2.964
ENSG00000124713	0.001	0.010	    3.296
ENSG00000185904	0.000	0.010	   -0.949
ENSG00000182149	0.000	0.010	    0.000
ENSG00000088298	0.000	0.010	   -2.259
ENSG00000204257	0.000	0.010	    3.151
ENSG00000251417	0.001	0.009	   -2.212
ENSG00000140105	0.000	0.009	    0.000
ENSG00000102904	0.000	0.009	  -10.749
ENSG00000130749	0.000	0.009	    0.000
ENSG00000084628	0.000	0.009	    0.000
ENSG00000263531	0.000	0.008	   -1.344
ENSG00000162039	0.000	0.008	   -1.121
ENSG00000198468	0.000	0.008	    2.690
ENSG00000219891	0.000	0.008	   -1.937
ENSG00000124587	0.001	0.008	   -2.803
ENSG00000108788	0.000	0.008	    0.000
ENSG00000092445	0.000	0.008	   -4.293
ENSG00000146828	0.000	0.008	   -2.117
ENSG00000263432	0.000	0.008	   -2.691
ENSG00000023191	0.000	0.007	    2.578
ENSG00000117174	0.000	0.007	    2.702
ENSG00000250412	0.000	0.007	    1.559
ENSG00000277443	0.000	0.007	    0.000
ENSG00000244752	0.000	0.007	    2.699
ENSG00000223534	0.000	0.007	    4.208
ENSG00000103091	0.000	0.007	   -2.687
ENSG00000119383	0.000	0.007	    0.000
ENSG00000204764	0.000	0.007	    0.000
ENSG00000138750	0.000	0.007	   -1.817
ENSG00000213066	0.000	0.007	    1.955
ENSG00000274964	0.001	0.007	    3.315
ENSG00000153363	0.000	0.007	    2.990
ENSG00000272288	0.001	0.007	    0.000
ENSG00000184451	0.000	0.007	    0.000
ENSG00000175707	0.000	0.007	    0.000
ENSG00000184949	0.000	0.007	    2.283
ENSG00000086015	0.000	0.007	   -2.812
ENSG00000172113	0.000	0.006	    2.112
ENSG00000217330	0.000	0.006	    2.140
ENSG00000253404	0.000	0.006	   -2.808
ENSG00000197498	0.000	0.006	    1.641
ENSG00000228008	0.000	0.006	    0.000
ENSG00000198162	0.001	0.006	    0.000
ENSG00000084764	0.000	0.006	    2.246
ENSG00000164849	0.001	0.006	   -3.654
ENSG00000033178	0.000	0.006	   -2.336
ENSG00000267765	0.000	0.006	    0.000
ENSG00000198898	0.000	0.006	    0.000
ENSG00000148296	0.000	0.006	    2.663
ENSG00000013573	0.000	0.006	    2.123
ENSG00000184517	0.000	0.006	    2.761
ENSG00000161328	0.000	0.006	    0.250
ENSG00000227500	0.000	0.006	   -3.087
ENSG00000204149	0.000	0.006	   -2.461
ENSG00000177000	0.000	0.006	   -1.947
ENSG00000176986	0.000	0.006	    0.000
ENSG00000176155	0.000	0.006	    0.492
ENSG00000278765	0.000	0.006	   -2.473
ENSG00000100077	0.000	0.005	   -2.544
ENSG00000143553	0.000	0.005	    0.000
ENSG00000264701	0.000	0.005	    0.000
ENSG00000233716	0.000	0.005	    0.000
ENSG00000183763	0.000	0.005	    0.000
ENSG00000149269	0.000	0.005	    0.000
ENSG00000157045	0.001	0.005	    0.000
ENSG00000229391	0.000	0.005	   -1.707
ENSG00000037749	0.000	0.005	    0.000
ENSG00000277383	0.000	0.005	    0.000
ENSG00000248714	0.000	0.005	    0.000
ENSG00000243646	0.000	0.005	    2.639
ENSG00000229399	0.000	0.005	    0.000
ENSG00000002919	0.000	0.005	    2.667
ENSG00000255374	0.000	0.005	   -0.757
ENSG00000122870	0.000	0.005	    0.000
ENSG00000078814	0.000	0.005	    3.233
ENSG00000164366	0.000	0.005	    1.329
ENSG00000179051	0.000	0.005	    0.000
ENSG00000095321	0.000	0.005	    0.000
ENSG00000078804	0.000	0.005	    0.000
ENSG00000175395	0.000	0.005	   -1.764
ENSG00000146859	0.000	0.005	    0.000
ENSG00000277494	0.000	0.005	    4.696
ENSG00000108774	0.000	0.005	    0.000
ENSG00000268030	0.000	0.005	    0.000
ENSG00000006015	0.000	0.005	    0.000
ENSG00000128298	0.000	0.005	    0.000
ENSG00000183242	0.000	0.005	    0.000
ENSG00000187676	0.003	0.005	   -3.806
ENSG00000119608	0.000	0.005	   -2.507
ENSG00000138078	0.000	0.005	    2.645
ENSG00000188779	0.000	0.005	    1.720
ENSG00000196296	0.000	0.005	    0.000
ENSG00000001460	0.000	0.005	    2.875
ENSG00000070047	0.000	0.004	    0.000
ENSG00000118514	0.000	0.004	   -1.950
ENSG00000151575	0.000	0.004	   -0.697
ENSG00000168026	0.000	0.004	    2.303
ENSG00000057608	0.000	0.004	    3.126
ENSG00000163257	0.000	0.004	   -1.604
ENSG00000156194	0.000	0.004	    1.235
ENSG00000250848	0.000	0.004	   -1.438
ENSG00000183605	0.000	0.004	   -0.291
ENSG00000265939	0.000	0.004	    0.000
ENSG00000115866	0.000	0.004	    0.000
ENSG00000102804	0.000	0.004	    0.000
ENSG00000264538	0.000	0.004	    1.161
ENSG00000249244	0.000	0.004	    1.530
ENSG00000233006	0.000	0.004	    0.000
ENSG00000196812	0.000	0.004	   -1.773
ENSG00000131748	0.000	0.004	    0.000
ENSG00000165476	0.000	0.004	    0.000
ENSG00000204623	0.001	0.004	    0.249
ENSG00000245573	0.000	0.004	   -2.442
ENSG00000214212	0.000	0.004	    0.000
ENSG00000136878	0.000	0.004	   -1.999
ENSG00000157152	0.000	0.004	    0.063
ENSG00000231389	0.000	0.004	   -0.822
ENSG00000136243	0.000	0.004	    0.312
ENSG00000152767	0.000	0.004	    0.000
ENSG00000150768	0.000	0.004	    0.000
ENSG00000196126	0.000	0.004	    2.041
ENSG00000176390	0.000	0.004	   -0.163
ENSG00000262879	0.000	0.004	   -0.958
ENSG00000134851	0.000	0.004	    0.000
ENSG00000224003	0.000	0.004	   -1.399
ENSG00000180185	0.000	0.004	    1.512
ENSG00000188859	0.000	0.004	    0.000
ENSG00000110025	0.000	0.004	   -3.125
ENSG00000198105	0.000	0.004	   -1.583
ENSG00000249846	0.000	0.004	    0.816
ENSG00000135976	0.000	0.004	   -1.305
ENSG00000111879	0.000	0.004	    2.170
ENSG00000213199	0.000	0.004	    0.000
ENSG00000174775	0.000	0.004	    2.920
ENSG00000115594	0.000	0.004	    0.000
ENSG00000245958	0.000	0.004	   -1.687
ENSG00000107317	0.000	0.004	    1.685
ENSG00000162377	0.000	0.004	    2.379
ENSG00000108592	0.000	0.004	   -1.728
ENSG00000174915	0.000	0.004	    1.507
ENSG00000172543	0.000	0.004	   -3.644
ENSG00000134852	0.000	0.004	   -1.679
ENSG00000099365	0.000	0.004	    2.150
ENSG00000164329	0.000	0.004	    2.361
ENSG00000227345	0.000	0.004	    0.000
ENSG00000078140	0.000	0.004	    0.000
ENSG00000154305	0.000	0.004	    0.000
ENSG00000149531	0.000	0.004	   -1.857
ENSG00000113946	0.000	0.004	    0.000
ENSG00000074621	0.000	0.004	    0.000
ENSG00000237440	0.000	0.004	   -1.119
ENSG00000162607	0.000	0.004	   -1.325
ENSG00000243955	0.000	0.004	    0.000
ENSG00000230912	0.000	0.004	    0.000
ENSG00000127580	0.000	0.004	   -2.688
ENSG00000105058	0.000	0.004	    0.000
ENSG00000164889	0.000	0.004	    0.000
ENSG00000128805	0.000	0.004	    2.027
ENSG00000235706	0.000	0.004	    0.000
ENSG00000149089	0.000	0.003	   -0.961
ENSG00000166225	0.000	0.003	    2.249
ENSG00000103415	0.000	0.003	    0.000
ENSG00000223485	0.000	0.003	    2.582
ENSG00000178977	0.000	0.003	    0.000
ENSG00000171503	0.000	0.003	   -2.373
ENSG00000105404	0.000	0.003	    2.627
ENSG00000279479	0.000	0.003	    2.112
ENSG00000258666	0.000	0.003	    0.000
ENSG00000069956	0.000	0.003	    0.000
ENSG00000283375	0.000	0.003	   -1.372
ENSG00000225693	0.000	0.003	    1.284
ENSG00000185485	0.000	0.003	   -1.007
ENSG00000103227	0.000	0.003	   -1.955
ENSG00000198945	0.000	0.003	   -1.957
ENSG00000166321	0.000	0.003	   -1.615
ENSG00000232118	0.000	0.003	    0.000
ENSG00000113318	0.000	0.003	    0.651
ENSG00000121210	0.000	0.003	    0.000
ENSG00000175662	0.000	0.003	   -1.747
ENSG00000113658	0.000	0.003	    1.708
ENSG00000272462	0.000	0.003	    1.654
ENSG00000011523	0.002	0.003	    3.536
ENSG00000248092	0.000	0.003	    1.018
ENSG00000112308	0.000	0.003	   -2.850
ENSG00000095787	0.000	0.003	   -2.744
ENSG00000132837	0.000	0.003	    0.000
ENSG00000267213	0.000	0.003	    3.008
ENSG00000272983	0.000	0.003	    2.036
ENSG00000131055	0.000	0.003	   -2.361
ENSG00000108771	0.000	0.003	   -2.058
ENSG00000197375	0.000	0.003	   -1.053
ENSG00000107021	0.000	0.003	    0.000
ENSG00000204130	0.000	0.003	   -2.093
ENSG00000203872	0.000	0.003	   -1.581
ENSG00000225489	0.000	0.003	    2.339
ENSG00000174628	0.000	0.003	    0.000
ENSG00000269373	0.000	0.003	   -0.734
ENSG00000260760	0.000	0.003	    0.133
ENSG00000171806	0.000	0.003	   -1.130
ENSG00000241106	0.000	0.003	    2.110
ENSG00000110921	0.000	0.003	    0.000
ENSG00000184937	0.000	0.003	    0.000
ENSG00000188994	0.000	0.003	    1.397
ENSG00000110435	0.000	0.003	    1.319
ENSG00000146281	0.000	0.003	    1.853
ENSG00000236816	0.000	0.003	    0.567
ENSG00000124562	0.000	0.003	    0.000
ENSG00000275784	0.000	0.003	    0.000
ENSG00000101489	0.000	0.003	    0.000
ENSG00000276790	0.000	0.003	    0.000
ENSG00000198785	0.000	0.003	   -2.494
ENSG00000172318	0.000	0.003	    0.102
ENSG00000120669	0.000	0.003	   -0.326
ENSG00000137185	0.000	0.003	    2.813
ENSG00000270091	0.000	0.003	   -2.430
ENSG00000155115	0.000	0.003	    0.934
ENSG00000196912	0.000	0.003	    1.751
ENSG00000133433	0.000	0.003	   -2.234
ENSG00000236114	0.000	0.003	    0.000
ENSG00000123609	0.000	0.003	    1.915
ENSG00000197312	0.000	0.003	   -1.365
ENSG00000240399	0.000	0.003	    1.547
ENSG00000151445	0.000	0.003	    1.845
ENSG00000216901	0.000	0.003	    0.902
ENSG00000241316	0.000	0.003	    1.422
ENSG00000272556	0.000	0.003	    1.597
ENSG00000077616	0.000	0.003	   -1.501
ENSG00000075413	0.000	0.003	    1.690
ENSG00000135972	0.000	0.003	    1.241
ENSG00000197062	0.000	0.003	   -2.350
ENSG00000236526	0.000	0.003	    0.000
ENSG00000256616	0.000	0.003	    0.000
ENSG00000150961	0.000	0.003	    0.366
ENSG00000112592	0.000	0.003	   -1.836
ENSG00000277558	0.000	0.003	    0.000
ENSG00000165555	0.000	0.003	   -1.844
ENSG00000280069	0.000	0.003	    1.162
ENSG00000128872	0.000	0.003	    0.000
ENSG00000127948	0.000	0.003	    0.960
ENSG00000258234	0.000	0.003	   -0.296
ENSG00000103496	0.000	0.003	    2.206
ENSG00000253540	0.000	0.003	    1.671
ENSG00000179029	0.000	0.003	    0.000
ENSG00000155875	0.000	0.003	    0.000
ENSG00000175906	0.000	0.003	   -1.476
ENSG00000163596	0.000	0.003	    1.583
ENSG00000146205	0.000	0.003	   -1.926
ENSG00000168038	0.000	0.003	    0.196
ENSG00000278611	0.000	0.003	    1.648
ENSG00000204084	0.000	0.003	   -0.463
ENSG00000204576	0.000	0.003	    0.000
ENSG00000259924	0.000	0.003	    0.000
ENSG00000224165	0.000	0.003	   -2.323
ENSG00000182722	0.000	0.003	   -2.381
ENSG00000134551	0.000	0.003	   -1.441
ENSG00000254635	0.000	0.003	    0.000
ENSG00000231887	0.000	0.003	    1.423
ENSG00000244067	0.000	0.003	    0.000
ENSG00000278725	0.000	0.003	   -0.385
ENSG00000178695	0.000	0.003	   -2.395
ENSG00000148291	0.000	0.003	    0.000
ENSG00000144362	0.000	0.003	   -1.711
ENSG00000240280	0.000	0.003	    0.000
ENSG00000106603	0.000	0.003	   -1.083
ENSG00000163946	0.000	0.003	    0.000
ENSG00000137720	0.000	0.003	   -2.056
ENSG00000118004	0.000	0.003	   -0.397
ENSG00000205060	0.000	0.003	    1.429
ENSG00000236756	0.000	0.003	   -1.523
ENSG00000185722	0.000	0.003	   -1.620
ENSG00000176268	0.000	0.003	   -1.055
ENSG00000061656	0.000	0.003	   -3.113
ENSG00000054219	0.000	0.003	   -1.579
ENSG00000227775	0.000	0.003	   -0.561
ENSG00000203705	0.000	0.003	    0.747
ENSG00000197165	0.000	0.003	    1.964
ENSG00000164077	0.000	0.003	    0.000
ENSG00000168028	0.000	0.003	   -1.341
ENSG00000010295	0.000	0.003	    0.000
ENSG00000270614	0.000	0.003	    1.375
ENSG00000178177	0.000	0.003	   -1.582
ENSG00000169567	0.000	0.003	    0.000
ENSG00000040199	0.000	0.003	    2.298
ENSG00000112041	0.000	0.003	   -2.563
ENSG00000214425	0.000	0.003	   -0.055
ENSG00000091732	0.000	0.003	    2.475
ENSG00000278967	0.000	0.003	    0.000
ENSG00000078967	0.000	0.003	    2.487
ENSG00000272140	0.000	0.003	    1.777
ENSG00000095596	0.001	0.003	    0.000
ENSG00000125968	0.000	0.003	    0.000
ENSG00000268240	0.000	0.003	    0.000
ENSG00000267681	0.000	0.002	   -1.423
ENSG00000188554	0.000	0.002	    0.000
ENSG00000120688	0.000	0.002	    0.000
ENSG00000099377	0.000	0.002	    2.206
ENSG00000089091	0.000	0.002	    2.271
ENSG00000117407	0.000	0.002	    2.012
ENSG00000267279	0.000	0.002	   -2.130
ENSG00000198931	0.000	0.002	    0.593
ENSG00000212128	0.000	0.002	    1.409
ENSG00000115607	0.000	0.002	    0.000
ENSG00000113593	0.000	0.002	   -1.152
ENSG00000111450	0.000	0.002	    1.133
ENSG00000224458	0.000	0.002	   -0.170
ENSG00000157036	0.000	0.002	   -1.181
ENSG00000170837	0.000	0.002	    0.657
ENSG00000111707	0.000	0.002	    0.000
ENSG00000124207	0.000	0.002	   -1.868
ENSG00000163040	0.000	0.002	   -0.798
ENSG00000213225	0.000	0.002	    0.000
ENSG00000130363	0.000	0.002	   -1.849
ENSG00000248787	0.000	0.002	    1.810
ENSG00000179774	0.000	0.002	    0.952
ENSG00000134057	0.000	0.002	    0.000
ENSG00000237711	0.000	0.002	    0.000
ENSG00000188729	0.000	0.002	    0.805
ENSG00000273058	0.000	0.002	   -0.826
ENSG00000268362	0.000	0.002	    0.562
ENSG00000228237	0.000	0.002	    0.000
ENSG00000188573	0.000	0.002	    0.051
ENSG00000266441	0.000	0.002	    2.089
ENSG00000263400	0.000	0.002	    1.482
ENSG00000146006	0.000	0.002	    0.000
ENSG00000075131	0.000	0.002	    1.548
ENSG00000171649	0.000	0.002	    0.000
ENSG00000220721	0.000	0.002	    0.861
ENSG00000258100	0.000	0.002	    1.520
ENSG00000184363	0.000	0.002	    0.000
ENSG00000172795	0.000	0.002	   -2.090
ENSG00000183562	0.000	0.002	    2.654
ENSG00000187824	0.000	0.002	    1.485
ENSG00000142552	0.000	0.002	   -1.436
ENSG00000141458	0.000	0.002	   -2.582
ENSG00000283345	0.000	0.002	   -1.767
ENSG00000214184	0.000	0.002	   -1.251
ENSG00000214293	0.000	0.002	    1.632
ENSG00000165644	0.000	0.002	    0.000
ENSG00000239830	0.000	0.002	   -0.281
ENSG00000137404	0.000	0.002	   -0.865
ENSG00000050405	0.000	0.002	    0.000
ENSG00000237668	0.000	0.002	    0.000
ENSG00000264247	0.000	0.002	   -2.276
ENSG00000279404	0.000	0.002	    0.000
ENSG00000224468	0.000	0.002	    2.290
ENSG00000228696	0.000	0.002	   -1.215
ENSG00000099977	0.000	0.002	    0.628
ENSG00000152117	0.000	0.002	   -0.770
ENSG00000251556	0.000	0.002	    0.000
ENSG00000128342	0.000	0.002	    0.000
ENSG00000247934	0.000	0.002	    1.283
ENSG00000078246	0.000	0.002	    1.002
ENSG00000197935	0.000	0.002	   -1.702
ENSG00000188133	0.000	0.002	    0.000
ENSG00000251216	0.000	0.002	    0.000
ENSG00000234420	0.000	0.002	    0.000
ENSG00000238231	0.000	0.002	    0.000
ENSG00000261558	0.000	0.002	    0.000
ENSG00000226091	0.000	0.002	   -0.978
ENSG00000179935	0.000	0.002	    1.535
ENSG00000271324	0.000	0.002	    1.240
ENSG00000278600	0.000	0.002	    2.133
ENSG00000100380	0.000	0.002	   -0.123
ENSG00000119314	0.000	0.002	   -1.781
ENSG00000272798	0.000	0.002	    0.000
ENSG00000259422	0.000	0.002	   -2.074
ENSG00000197008	0.000	0.002	    0.763
ENSG00000277829	0.000	0.002	    0.000
ENSG00000147592	0.000	0.002	    0.000
ENSG00000198039	0.000	0.002	   -2.146
ENSG00000277763	0.000	0.002	    0.000
ENSG00000184988	0.000	0.002	   -1.354
ENSG00000124743	0.000	0.002	   -2.013
ENSG00000067836	0.000	0.002	    0.000
ENSG00000267100	0.000	0.002	    0.817
ENSG00000174136	0.000	0.002	    0.440
ENSG00000168925	0.000	0.002	    0.000
ENSG00000189367	0.000	0.002	   -2.533
ENSG00000126790	0.000	0.002	   -0.355
ENSG00000168488	0.000	0.002	   -2.841
ENSG00000221882	0.000	0.002	   -1.904
ENSG00000129244	0.000	0.002	    0.000
ENSG00000140280	0.000	0.002	    0.000
ENSG00000256682	0.000	0.002	    1.388
ENSG00000180178	0.000	0.002	   -1.536
ENSG00000100577	0.000	0.002	   -2.358
ENSG00000248671	0.000	0.002	    0.919
ENSG00000129910	0.000	0.002	    2.010
ENSG00000273677	0.000	0.002	    0.000
ENSG00000073150	0.000	0.002	    0.195
ENSG00000276073	0.000	0.002	   -2.668
ENSG00000169247	0.000	0.002	   -0.534
ENSG00000138030	0.000	0.002	    2.267
ENSG00000271643	0.000	0.002	    1.243
ENSG00000259642	0.000	0.002	    2.006
ENSG00000240602	0.000	0.002	    1.532
ENSG00000261070	0.000	0.002	    2.165
ENSG00000224307	0.000	0.002	   -1.902
ENSG00000231907	0.000	0.002	    0.000
ENSG00000187134	0.000	0.002	   -1.861
ENSG00000272281	0.000	0.002	    0.334
ENSG00000253251	0.000	0.002	    0.000
ENSG00000257431	0.000	0.002	   -0.476
ENSG00000132950	0.000	0.002	    0.000
ENSG00000144401	0.000	0.002	    0.000
ENSG00000115604	0.000	0.002	   -1.151
ENSG00000259556	0.000	0.002	    0.000
ENSG00000147324	0.000	0.002	    0.000
ENSG00000108861	0.000	0.002	    0.000
ENSG00000237641	0.000	0.002	   -1.318
ENSG00000189171	0.000	0.002	    2.093
ENSG00000230189	0.000	0.002	   -1.538
ENSG00000078747	0.000	0.002	    0.000
ENSG00000160298	0.000	0.002	    0.000
ENSG00000167740	0.000	0.002	    1.958
ENSG00000163629	0.000	0.002	   -1.555
ENSG00000220205	0.000	0.002	    0.000
ENSG00000254473	0.000	0.002	   -1.797
ENSG00000181741	0.000	0.002	    0.000
ENSG00000224897	0.000	0.002	    0.000
ENSG00000074603	0.000	0.002	    1.920
ENSG00000221983	0.000	0.002	    0.000
ENSG00000237356	0.000	0.002	   -2.029
ENSG00000100170	0.000	0.002	    0.000
ENSG00000113595	0.000	0.002	   -1.698
ENSG00000138829	0.000	0.002	    0.376
ENSG00000234389	0.000	0.002	    2.176
ENSG00000187908	0.000	0.002	   -0.544
ENSG00000268433	0.000	0.002	   -1.331
ENSG00000229676	0.000	0.002	   -0.421
ENSG00000114796	0.000	0.002	    0.104
ENSG00000235996	0.000	0.002	    0.000
ENSG00000205853	0.000	0.002	    1.431
ENSG00000268364	0.000	0.002	    0.000
ENSG00000108094	0.000	0.002	    0.000
ENSG00000250950	0.000	0.002	    0.000
ENSG00000273448	0.000	0.002	    1.927
ENSG00000204219	0.000	0.002	    0.000
ENSG00000232388	0.000	0.002	    2.283
ENSG00000212124	0.000	0.002	    0.399
ENSG00000100372	0.000	0.002	   -0.427
ENSG00000254682	0.000	0.002	   -1.900
ENSG00000282651	0.000	0.002	   -0.005
ENSG00000280739	0.000	0.002	    0.000
ENSG00000143252	0.000	0.002	    0.436
ENSG00000279347	0.000	0.002	   -0.186
ENSG00000189316	0.000	0.002	   -2.135
ENSG00000127952	0.000	0.002	   -1.576
ENSG00000122873	0.000	0.002	    0.573
ENSG00000272630	0.000	0.002	    1.505
ENSG00000128285	0.000	0.002	   -0.363
ENSG00000168061	0.000	0.002	    2.015
ENSG00000267002	0.000	0.002	    0.000
ENSG00000087206	0.000	0.002	    1.853
ENSG00000240972	0.000	0.002	    1.773
ENSG00000119977	0.000	0.002	   -1.686
ENSG00000099974	0.000	0.002	   -1.671
ENSG00000177674	0.000	0.002	   -1.781
ENSG00000168938	0.000	0.002	   -1.680
ENSG00000204706	0.000	0.002	    1.019
ENSG00000228804	0.000	0.002	    1.929
ENSG00000176953	0.000	0.002	    0.000
ENSG00000074054	0.000	0.002	   -0.805
ENSG00000120664	0.000	0.002	    0.365
ENSG00000135929	0.000	0.002	    0.000
ENSG00000100601	0.000	0.002	   -1.437
ENSG00000223313	0.000	0.002	   -1.567
ENSG00000130818	0.000	0.002	   -0.440
ENSG00000271980	0.000	0.002	   -0.042
ENSG00000211970	0.000	0.002	    0.000
ENSG00000226200	0.000	0.002	    0.000
ENSG00000116785	0.000	0.002	   -2.421
ENSG00000100554	0.000	0.002	   -0.029
ENSG00000119285	0.000	0.002	    2.074
ENSG00000099956	0.000	0.002	   -0.787
ENSG00000197134	0.000	0.002	    0.680
ENSG00000278733	0.000	0.002	    1.014
ENSG00000133460	0.000	0.002	    1.151
ENSG00000124357	0.000	0.002	    2.135
ENSG00000270074	0.000	0.002	   -0.852
ENSG00000127616	0.000	0.002	    0.000
